datetime,Car Park Id,Short Description,Date,Occupancy,Occupancy Percentage,Override Active,State,latitude,longitude
2018-12-05 00:00:00,C18152,CP28 Eden Glen/ Exeter Road,2018-12-05 00:00:00,39,16.18,false,Spaces,50.717399,-1.878171
2018-12-05 00:05:00,C18152,CP28 Eden Glen/ Exeter Road,2018-12-05 00:05:00,39,16.18,false,Spaces,50.717399,-1.878171
2018-12-05 00:10:00,C18152,CP28 Eden Glen/ Exeter Road,2018-12-05 00:10:00,39,16.18,false,Spaces,50.717399,-1.878171
2018-12-05 00:15:00,C18152,CP28 Eden Glen/ Exeter Road,2018-12-05 00:15:00,39,16.18,false,Spaces,50.717399,-1.878171
2018-12-05 00:20:00,C18152,CP28 Eden Glen/ Exeter Road,2018-12-05 00:20:00,38,15.77,false,Spaces,50.717399,-1.878171
2018-12-05 00:25:00,C18152,CP28 Eden Glen/ Exeter Road,2018-12-05 00:25:00,38,15.77,false,Spaces,50.717399,-1.878171
2018-12-05 00:30:00,C18152,CP28 Eden Glen/ Exeter Road,2018-12-05 00:30:00,38,15.77,false,Spaces,50.717399,-1.878171
2018-12-05 00:35:00,C18152,CP28 Eden Glen/ Exeter Road,2018-12-05 00:35:00,38,15.77,false,Spaces,50.717399,-1.878171
2018-12-05 00:40:00,C18152,CP28 Eden Glen/ Exeter Road,2018-12-05 00:40:00,38,15.77,false,Spaces,50.717399,-1.878171
2018-12-05 00:45:00,C18152,CP28 Eden Glen/ Exeter Road,2018-12-05 00:45:00,36,14.94,false,Spaces,50.717399,-1.878171
2018-12-05 00:50:00,C18152,CP28 Eden Glen/ Exeter Road,2018-12-05 00:50:00,35,14.52,false,Spaces,50.717399,-1.878171
2018-12-05 00:55:00,C18152,CP28 Eden Glen/ Exeter Road,2018-12-05 00:55:00,35,14.52,false,Spaces,50.717399,-1.878171
2018-12-05 01:00:00,C18152,CP28 Eden Glen/ Exeter Road,2018-12-05 01:00:00,35,14.52,false,Spaces,50.717399,-1.878171
2018-12-05 01:05:00,C18152,CP28 Eden Glen/ Exeter Road,2018-12-05 01:05:00,35,14.52,false,Spaces,50.717399,-1.878171
2018-12-05 01:10:00,C18152,CP28 Eden Glen/ Exeter Road,2018-12-05 01:10:00,35,14.52,false,Spaces,50.717399,-1.878171
2018-12-05 01:15:00,C18152,CP28 Eden Glen/ Exeter Road,2018-12-05 01:15:00,35,14.52,false,Spaces,50.717399,-1.878171
2018-12-05 01:20:00,C18152,CP28 Eden Glen/ Exeter Road,2018-12-05 01:20:00,35,14.52,false,Spaces,50.717399,-1.878171
2018-12-05 01:25:00,C18152,CP28 Eden Glen/ Exeter Road,2018-12-05 01:25:00,35,14.52,false,Spaces,50.717399,-1.878171
2018-12-05 01:30:00,C18152,CP28 Eden Glen/ Exeter Road,2018-12-05 01:30:00,35,14.52,false,Spaces,50.717399,-1.878171
2018-12-05 01:35:00,C18152,CP28 Eden Glen/ Exeter Road,2018-12-05 01:35:00,35,14.52,false,Spaces,50.717399,-1.878171
2018-12-05 01:40:00,C18152,CP28 Eden Glen/ Exeter Road,2018-12-05 01:40:00,35,14.52,false,Spaces,50.717399,-1.878171
2018-12-05 01:45:00,C18152,CP28 Eden Glen/ Exeter Road,2018-12-05 01:45:00,35,14.52,false,Spaces,50.717399,-1.878171
2018-12-05 01:50:00,C18152,CP28 Eden Glen/ Exeter Road,2018-12-05 01:50:00,35,14.52,false,Spaces,50.717399,-1.878171
2018-12-05 02:10:00,C18152,CP28 Eden Glen/ Exeter Road,2018-12-05 02:10:00,35,14.52,false,Spaces,50.717399,-1.878171
2018-12-05 02:15:00,C18152,CP28 Eden Glen/ Exeter Road,2018-12-05 02:15:00,35,14.52,false,Spaces,50.717399,-1.878171
2018-12-05 02:20:00,C18152,CP28 Eden Glen/ Exeter Road,2018-12-05 02:20:00,35,14.52,false,Spaces,50.717399,-1.878171
2018-12-05 02:25:00,C18152,CP28 Eden Glen/ Exeter Road,2018-12-05 02:25:00,35,14.52,false,Spaces,50.717399,-1.878171
