datetime,Car Park Id,Short Description,Date,Occupancy,Occupancy Percentage,Override Active,State,latitude,longitude
2018-12-05 00:00:00,C18154,BIC Multistorey Car Park,2018-12-05 00:00:00,166,24.41,false,Spaces,50.716723,-1.879098
2018-12-05 00:05:00,C18154,BIC Multistorey Car Park,2018-12-05 00:05:00,165,24.26,false,Spaces,50.716723,-1.879098
2018-12-05 00:10:00,C18154,BIC Multistorey Car Park,2018-12-05 00:10:00,165,24.26,false,Spaces,50.716723,-1.879098
2018-12-05 00:15:00,C18154,BIC Multistorey Car Park,2018-12-05 00:15:00,165,24.26,false,Spaces,50.716723,-1.879098
2018-12-05 00:20:00,C18154,BIC Multistorey Car Park,2018-12-05 00:20:00,165,24.26,false,Spaces,50.716723,-1.879098
2018-12-05 00:25:00,C18154,BIC Multistorey Car Park,2018-12-05 00:25:00,163,23.97,false,Spaces,50.716723,-1.879098
2018-12-05 00:30:00,C18154,BIC Multistorey Car Park,2018-12-05 00:30:00,163,23.97,false,Spaces,50.716723,-1.879098
2018-12-05 00:35:00,C18154,BIC Multistorey Car Park,2018-12-05 00:35:00,163,23.97,false,Spaces,50.716723,-1.879098
2018-12-05 00:40:00,C18154,BIC Multistorey Car Park,2018-12-05 00:40:00,163,23.97,false,Spaces,50.716723,-1.879098
2018-12-05 00:45:00,C18154,BIC Multistorey Car Park,2018-12-05 00:45:00,163,23.97,false,Spaces,50.716723,-1.879098
2018-12-05 00:50:00,C18154,BIC Multistorey Car Park,2018-12-05 00:50:00,163,23.97,false,Spaces,50.716723,-1.879098
2018-12-05 00:55:00,C18154,BIC Multistorey Car Park,2018-12-05 00:55:00,163,23.97,false,Spaces,50.716723,-1.879098
2018-12-05 01:00:00,C18154,BIC Multistorey Car Park,2018-12-05 01:00:00,163,23.97,false,Spaces,50.716723,-1.879098
2018-12-05 01:05:00,C18154,BIC Multistorey Car Park,2018-12-05 01:05:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 01:10:00,C18154,BIC Multistorey Car Park,2018-12-05 01:10:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 01:15:00,C18154,BIC Multistorey Car Park,2018-12-05 01:15:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 01:35:00,C18154,BIC Multistorey Car Park,2018-12-05 01:35:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 01:40:00,C18154,BIC Multistorey Car Park,2018-12-05 01:40:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 01:45:00,C18154,BIC Multistorey Car Park,2018-12-05 01:45:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 01:50:00,C18154,BIC Multistorey Car Park,2018-12-05 01:50:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 01:55:00,C18154,BIC Multistorey Car Park,2018-12-05 01:55:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 02:00:00,C18154,BIC Multistorey Car Park,2018-12-05 02:00:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 02:05:00,C18154,BIC Multistorey Car Park,2018-12-05 02:05:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 02:10:00,C18154,BIC Multistorey Car Park,2018-12-05 02:10:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 02:15:00,C18154,BIC Multistorey Car Park,2018-12-05 02:15:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 02:20:00,C18154,BIC Multistorey Car Park,2018-12-05 02:20:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 02:25:00,C18154,BIC Multistorey Car Park,2018-12-05 02:25:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 02:30:00,C18154,BIC Multistorey Car Park,2018-12-05 02:30:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 02:35:00,C18154,BIC Multistorey Car Park,2018-12-05 02:35:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 02:40:00,C18154,BIC Multistorey Car Park,2018-12-05 02:40:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 02:45:00,C18154,BIC Multistorey Car Park,2018-12-05 02:45:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 02:50:00,C18154,BIC Multistorey Car Park,2018-12-05 02:50:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 02:55:00,C18154,BIC Multistorey Car Park,2018-12-05 02:55:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 03:00:00,C18154,BIC Multistorey Car Park,2018-12-05 03:00:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 03:05:00,C18154,BIC Multistorey Car Park,2018-12-05 03:05:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 03:10:00,C18154,BIC Multistorey Car Park,2018-12-05 03:10:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 03:15:00,C18154,BIC Multistorey Car Park,2018-12-05 03:15:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 03:20:00,C18154,BIC Multistorey Car Park,2018-12-05 03:20:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 03:25:00,C18154,BIC Multistorey Car Park,2018-12-05 03:25:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 03:30:00,C18154,BIC Multistorey Car Park,2018-12-05 03:30:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 03:35:00,C18154,BIC Multistorey Car Park,2018-12-05 03:35:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 03:40:00,C18154,BIC Multistorey Car Park,2018-12-05 03:40:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 03:45:00,C18154,BIC Multistorey Car Park,2018-12-05 03:45:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 03:50:00,C18154,BIC Multistorey Car Park,2018-12-05 03:50:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 03:55:00,C18154,BIC Multistorey Car Park,2018-12-05 03:55:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 04:00:00,C18154,BIC Multistorey Car Park,2018-12-05 04:00:00,10,1.47,false,Spaces,50.716723,-1.879098
2018-12-05 04:00:00,C18154,BIC Multistorey Car Park,2018-12-05 04:00:00,162,23.82,false,Spaces,50.716723,-1.879098
2018-12-05 04:05:00,C18154,BIC Multistorey Car Park,2018-12-05 04:05:00,10,1.47,false,Spaces,50.716723,-1.879098
2018-12-05 04:10:00,C18154,BIC Multistorey Car Park,2018-12-05 04:10:00,10,1.47,false,Spaces,50.716723,-1.879098
2018-12-05 04:15:00,C18154,BIC Multistorey Car Park,2018-12-05 04:15:00,10,1.47,false,Spaces,50.716723,-1.879098
2018-12-05 04:20:00,C18154,BIC Multistorey Car Park,2018-12-05 04:20:00,10,1.47,false,Spaces,50.716723,-1.879098
2018-12-05 04:25:00,C18154,BIC Multistorey Car Park,2018-12-05 04:25:00,10,1.47,false,Spaces,50.716723,-1.879098
2018-12-05 04:30:00,C18154,BIC Multistorey Car Park,2018-12-05 04:30:00,10,1.47,false,Spaces,50.716723,-1.879098
2018-12-05 04:35:00,C18154,BIC Multistorey Car Park,2018-12-05 04:35:00,10,1.47,false,Spaces,50.716723,-1.879098
2018-12-05 04:40:00,C18154,BIC Multistorey Car Park,2018-12-05 04:40:00,10,1.47,false,Spaces,50.716723,-1.879098
2018-12-05 04:45:00,C18154,BIC Multistorey Car Park,2018-12-05 04:45:00,10,1.47,false,Spaces,50.716723,-1.879098
2018-12-05 04:50:00,C18154,BIC Multistorey Car Park,2018-12-05 04:50:00,10,1.47,false,Spaces,50.716723,-1.879098
2018-12-05 04:55:00,C18154,BIC Multistorey Car Park,2018-12-05 04:55:00,10,1.47,false,Spaces,50.716723,-1.879098
2018-12-05 05:00:00,C18154,BIC Multistorey Car Park,2018-12-05 05:00:00,10,1.47,false,Spaces,50.716723,-1.879098
2018-12-05 05:05:00,C18154,BIC Multistorey Car Park,2018-12-05 05:05:00,10,1.47,false,Spaces,50.716723,-1.879098
2018-12-05 05:10:00,C18154,BIC Multistorey Car Park,2018-12-05 05:10:00,10,1.47,false,Spaces,50.716723,-1.879098
2018-12-05 05:15:00,C18154,BIC Multistorey Car Park,2018-12-05 05:15:00,10,1.47,false,Spaces,50.716723,-1.879098
2018-12-05 05:20:00,C18154,BIC Multistorey Car Park,2018-12-05 05:20:00,10,1.47,false,Spaces,50.716723,-1.879098
2018-12-05 05:25:00,C18154,BIC Multistorey Car Park,2018-12-05 05:25:00,11,1.62,false,Spaces,50.716723,-1.879098
2018-12-05 05:30:00,C18154,BIC Multistorey Car Park,2018-12-05 05:30:00,11,1.62,false,Spaces,50.716723,-1.879098
2018-12-05 05:35:00,C18154,BIC Multistorey Car Park,2018-12-05 05:35:00,11,1.62,false,Spaces,50.716723,-1.879098
2018-12-05 05:40:00,C18154,BIC Multistorey Car Park,2018-12-05 05:40:00,11,1.62,false,Spaces,50.716723,-1.879098
2018-12-05 05:45:00,C18154,BIC Multistorey Car Park,2018-12-05 05:45:00,11,1.62,false,Spaces,50.716723,-1.879098
2018-12-05 05:50:00,C18154,BIC Multistorey Car Park,2018-12-05 05:50:00,11,1.62,false,Spaces,50.716723,-1.879098
2018-12-05 05:55:00,C18154,BIC Multistorey Car Park,2018-12-05 05:55:00,11,1.62,false,Spaces,50.716723,-1.879098
2018-12-05 06:00:00,C18154,BIC Multistorey Car Park,2018-12-05 06:00:00,11,1.62,false,Spaces,50.716723,-1.879098
2018-12-05 06:05:00,C18154,BIC Multistorey Car Park,2018-12-05 06:05:00,11,1.62,false,Spaces,50.716723,-1.879098
2018-12-05 06:10:00,C18154,BIC Multistorey Car Park,2018-12-05 06:10:00,11,1.62,false,Spaces,50.716723,-1.879098
2018-12-05 06:15:00,C18154,BIC Multistorey Car Park,2018-12-05 06:15:00,13,1.91,false,Spaces,50.716723,-1.879098
2018-12-05 06:20:00,C18154,BIC Multistorey Car Park,2018-12-05 06:20:00,13,1.91,false,Spaces,50.716723,-1.879098
2018-12-05 06:25:00,C18154,BIC Multistorey Car Park,2018-12-05 06:25:00,13,1.91,false,Spaces,50.716723,-1.879098
2018-12-05 06:30:00,C18154,BIC Multistorey Car Park,2018-12-05 06:30:00,13,1.91,false,Spaces,50.716723,-1.879098
2018-12-05 06:35:00,C18154,BIC Multistorey Car Park,2018-12-05 06:35:00,13,1.91,false,Spaces,50.716723,-1.879098
2018-12-05 06:40:00,C18154,BIC Multistorey Car Park,2018-12-05 06:40:00,13,1.91,false,Spaces,50.716723,-1.879098
2018-12-05 06:45:00,C18154,BIC Multistorey Car Park,2018-12-05 06:45:00,13,1.91,false,Spaces,50.716723,-1.879098
2018-12-05 06:50:00,C18154,BIC Multistorey Car Park,2018-12-05 06:50:00,13,1.91,false,Spaces,50.716723,-1.879098
2018-12-05 06:55:00,C18154,BIC Multistorey Car Park,2018-12-05 06:55:00,13,1.91,false,Spaces,50.716723,-1.879098
2018-12-05 07:00:00,C18154,BIC Multistorey Car Park,2018-12-05 07:00:00,13,1.91,false,Spaces,50.716723,-1.879098
2018-12-05 07:05:00,C18154,BIC Multistorey Car Park,2018-12-05 07:05:00,13,1.91,false,Spaces,50.716723,-1.879098
2018-12-05 07:10:00,C18154,BIC Multistorey Car Park,2018-12-05 07:10:00,13,1.91,false,Spaces,50.716723,-1.879098
2018-12-05 07:15:00,C18154,BIC Multistorey Car Park,2018-12-05 07:15:00,13,1.91,false,Spaces,50.716723,-1.879098
2018-12-05 07:20:00,C18154,BIC Multistorey Car Park,2018-12-05 07:20:00,14,2.06,false,Spaces,50.716723,-1.879098
2018-12-05 07:25:00,C18154,BIC Multistorey Car Park,2018-12-05 07:25:00,14,2.06,false,Spaces,50.716723,-1.879098
2018-12-05 07:30:00,C18154,BIC Multistorey Car Park,2018-12-05 07:30:00,15,2.21,false,Spaces,50.716723,-1.879098
2018-12-05 07:35:00,C18154,BIC Multistorey Car Park,2018-12-05 07:35:00,15,2.21,false,Spaces,50.716723,-1.879098
2018-12-05 07:40:00,C18154,BIC Multistorey Car Park,2018-12-05 07:40:00,16,2.35,false,Spaces,50.716723,-1.879098
2018-12-05 07:45:00,C18154,BIC Multistorey Car Park,2018-12-05 07:45:00,17,2.50,false,Spaces,50.716723,-1.879098
2018-12-05 07:50:00,C18154,BIC Multistorey Car Park,2018-12-05 07:50:00,18,2.65,false,Spaces,50.716723,-1.879098
